epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59.533,0.41103,0.70296,0.94688,0.91626,0.95172,0.97662,0.86718,0.44687,0.73119,1.11544,0.000703961,0.000703961,0.000703961
43,60.9552,0.40089,0.71643,0.9299,0.93269,0.96935,0.97215,0.86292,0.44461,0.75048,1.12508,0.000686277,0.000686277,0.000686277
44,62.4739,0.42874,0.75994,0.9505,0.93301,0.90404,0.95315,0.87579,0.42423,0.80474,1.05206,0.000668593,0.000668593,0.000668593
45,63.851,0.43383,0.73717,0.98654,0.93309,0.9061,0.94698,0.88361,0.37842,0.76069,1.00391,0.000650909,0.000650909,0.000650909
46,65.2864,0.42351,0.73742,0.96265,0.94866,0.94016,0.94892,0.84958,0.43444,0.69044,1.08106,0.000633226,0.000633226,0.000633226
47,66.6576,0.45133,0.74652,0.97279,0.95367,0.94893,0.95263,0.8624,0.44495,0.68284,1.08916,0.000615542,0.000615542,0.000615542
48,68.1083,0.44948,0.79945,0.97239,0.93536,0.9527,0.96498,0.88767,0.39712,0.69362,1.02503,0.000597858,0.000597858,0.000597858
49,69.5583,0.42026,0.68857,0.95592,0.96797,0.9408,0.96801,0.88614,0.41966,0.65941,1.03615,0.000580174,0.000580174,0.000580174
50,71.0131,0.41634,0.6793,0.98412,0.96835,0.94452,0.97283,0.864,0.47711,0.64322,1.11054,0.00056249,0.00056249,0.00056249
51,72.433,0.43927,0.74487,0.98011,0.96612,0.94461,0.9766,0.86787,0.47878,0.63925,1.13867,0.000544806,0.000544806,0.000544806
52,73.8534,0.37554,0.68044,0.92949,0.95449,0.94908,0.97476,0.86559,0.49783,0.65979,1.19153,0.000527122,0.000527122,0.000527122
53,75.2552,0.38518,0.67443,0.93527,0.95078,0.95248,0.97291,0.85841,0.49513,0.67805,1.18704,0.000509438,0.000509438,0.000509438
54,76.6973,0.41196,0.71716,0.96143,0.95041,0.90228,0.96478,0.85936,0.45285,0.71197,1.1391,0.000491755,0.000491755,0.000491755
55,78.0518,0.38924,0.68116,0.93327,0.94672,0.90279,0.97038,0.8893,0.39809,0.68907,1.06889,0.000474071,0.000474071,0.000474071
56,79.5716,0.37269,0.65703,0.92752,0.91382,0.95506,0.97481,0.92373,0.33143,0.63544,0.98486,0.000456387,0.000456387,0.000456387
57,81.0345,0.39361,0.65247,0.97089,0.90256,0.95511,0.9729,0.92192,0.33027,0.61865,0.97034,0.000438703,0.000438703,0.000438703
58,82.4659,0.37501,0.66154,0.95246,0.90437,0.97684,0.97644,0.9134,0.32631,0.60023,0.95008,0.000421019,0.000421019,0.000421019
59,83.8382,0.36858,0.60623,0.95855,0.90225,0.97498,0.97747,0.92479,0.31054,0.58623,0.93848,0.000403335,0.000403335,0.000403335
60,85.2438,0.3603,0.6451,0.93317,0.88914,0.97602,0.97641,0.92318,0.30048,0.58252,0.91267,0.000385651,0.000385651,0.000385651
61,86.6414,0.37271,0.64439,0.92968,0.89341,0.97564,0.97724,0.92335,0.29913,0.57388,0.90878,0.000367967,0.000367967,0.000367967
62,88.0365,0.37752,0.65941,0.94084,0.89626,0.97917,0.97818,0.9286,0.31965,0.57581,0.92799,0.000350284,0.000350284,0.000350284
63,89.4419,0.32299,0.59279,0.90503,0.91144,0.97917,0.97687,0.93245,0.31182,0.55998,0.93911,0.0003326,0.0003326,0.0003326
64,90.9498,0.34968,0.60997,0.91716,0.95758,0.97618,0.98706,0.94788,0.2998,0.53079,0.9681,0.000314916,0.000314916,0.000314916
65,92.3287,0.3489,0.62736,0.93404,0.95709,0.97708,0.9861,0.94292,0.29614,0.52893,0.96594,0.000297232,0.000297232,0.000297232
66,93.8212,0.35742,0.62228,0.93903,0.96637,0.9734,0.98257,0.92947,0.30723,0.52056,0.96048,0.000279548,0.000279548,0.000279548
67,95.2119,0.28968,0.53493,0.90257,0.96901,0.97682,0.98181,0.92415,0.31308,0.51614,0.96453,0.000261864,0.000261864,0.000261864
68,96.6413,0.36622,0.63459,0.93316,0.96883,0.97917,0.98576,0.93151,0.29721,0.50567,0.94134,0.00024418,0.00024418,0.00024418
69,97.9872,0.33639,0.55987,0.92247,0.96781,0.97917,0.98788,0.93378,0.29748,0.50304,0.94001,0.000226497,0.000226497,0.000226497
70,99.4152,0.34395,0.60871,0.93187,0.96169,0.97917,0.99147,0.95289,0.27981,0.48786,0.92696,0.000208813,0.000208813,0.000208813
71,107.24,0.21084,0.6854,0.88213,0.95844,0.97917,0.99029,0.95046,0.27686,0.49641,0.92509,0.000191129,0.000191129,0.000191129
72,108.628,0.19578,0.63498,0.86497,0.96602,0.97917,0.98925,0.94188,0.29994,0.55095,0.93106,0.000173445,0.000173445,0.000173445
73,110.037,0.2029,0.62373,0.90229,0.96959,0.97917,0.98788,0.94013,0.31397,0.58912,0.93657,0.000155761,0.000155761,0.000155761
74,111.427,0.21087,0.63982,0.88846,0.96797,0.97917,0.99147,0.94363,0.31226,0.61613,0.93681,0.000138077,0.000138077,0.000138077
75,112.78,0.19707,0.57331,0.88048,0.96462,0.97876,0.99029,0.93915,0.31097,0.60754,0.94335,0.000120393,0.000120393,0.000120393
76,114.178,0.18752,0.55425,0.85553,0.96939,0.97917,0.99147,0.94468,0.31614,0.54882,0.97328,0.000102709,0.000102709,0.000102709
77,115.62,0.20329,0.59914,0.91103,0.97119,0.97917,0.99042,0.94263,0.3031,0.53162,0.95867,8.50255e-05,8.50255e-05,8.50255e-05
78,117.019,0.19363,0.54611,0.86563,0.97304,0.97917,0.9916,0.94395,0.30007,0.51326,0.96163,6.73416e-05,6.73416e-05,6.73416e-05
79,118.361,0.1748,0.51665,0.85639,0.97418,0.97917,0.99278,0.94667,0.29746,0.50145,0.96217,4.96578e-05,4.96578e-05,4.96578e-05
80,119.747,0.19085,0.51155,0.88735,0.97494,0.97917,0.9916,0.94616,0.29805,0.49555,0.96935,3.19739e-05,3.19739e-05,3.19739e-05
